Company,Industry,Region,AI_Investment_USD_Millions,Revenue_Growth_Pct,Profit_Margin_Pct,Employee_Productivity_Score,AI_ROI_Pct,Year,Quarter
Citi,Finance,North America,3100,0.4,7.2,63,1.2,2024,Q3
Mayo Clinic,Healthcare,North America,890,6.2,4.8,74,7.4,2024,Q1
Mayo Clinic,Healthcare,North America,940,6.8,5.1,75,8.2,2024,Q2
Mayo Clinic,Healthcare,North America,1010,7.4,5.4,76,9.1,2024,Q3
Mayo Clinic,Healthcare,North America,1080,7.9,5.8,77,9.8,2024,Q4
Pfizer,Healthcare,North America,1600,-4.8,14.2,64,-6.2,2024,Q1
Pfizer,Healthcare,North America,1700,-3.2,13.8,65,-4.8,2024,Q2
Pfizer,Healthcare,North America,1750,-1.6,14.4,66,-2.1,2024,Q3
UnitedHealth,Healthcare,North America,2100,8.6,6.2,71,9.4,2024,Q1
UnitedHealth,Healthcare,North America,2250,9.1,6.4,72,10.2,2024,Q2
Amazon,Retail,North America,12400,12.6,6.8,83,14.2,2024,Q1
Amazon,Retail,North America,13100,13.4,7.2,84,15.6,2024,Q2
Amazon,Retail,North America,13800,14.1,7.6,85,16.8,2024,Q3
Amazon,Retail,North America,14400,14.8,8.1,86,17.4,2024,Q4
Walmart,Retail,North America,3200,4.8,2.4,68,3.6,2024,Q1
Walmart,Retail,North America,3400,5.2,2.6,69,4.1,2024,Q2
Walmart,Retail,North America,3600,5.6,2.8,70,4.8,2024,Q3
Target,Retail,North America,1100,-2.4,2.1,61,-4.2,2024,Q1
Target,Retail,North America,1150,-1.8,2.4,62,-3.1,2024,Q2
Siemens,Manufacturing,Europe,2100,5.4,9.8,73,8.2,2024,Q1
Siemens,Manufacturing,Europe,2200,5.8,10.1,74,8.8,2024,Q2
Siemens,Manufacturing,Europe,2300,6.2,10.4,75,9.4,2024,Q3
Ford,Manufacturing,North America,980,-3.6,1.2,58,-6.8,2024,Q1
Ford,Manufacturing,North America,1020,-2.8,1.6,59,-5.2,2024,Q2
Ford,Manufacturing,North America,1100,-1.4,1.9,61,-2.8,2024,Q3
3M,Manufacturing,North America,620,1.2,14.8,67,2.4,2024,Q1
3M,Manufacturing,North America,640,1.6,15.1,68,3.1,2024,Q2
Accenture,Consulting,North America,1800,6.4,14.2,78,12.8,2024,Q1
Accenture,Consulting,North America,1900,7.1,14.8,79,13.6,2024,Q2
Accenture,Consulting,North America,2000,7.8,15.1,80,14.4,2024,Q3
Accenture,Consulting,North America,2100,8.2,15.4,81,15.1,2024,Q4
McKinsey,Consulting,North America,420,9.8,32.4,86,18.6,2024,Q1
McKinsey,Consulting,North America,440,10.2,33.1,87,19.4,2024,Q2
Deloitte,Consulting,North America,980,7.2,18.6,82,14.2,2024,Q1
Deloitte,Consulting,North America,1020,7.8,19.1,83,15.1,2024,Q2
Microsoft,Tech,North America,10400,21.4,38.4,89,36.8,2025,Q1
Microsoft,Tech,North America,11100,22.8,39.1,90,38.2,2025,Q2
Google,Tech,North America,9800,13.8,25.8,84,20.4,2025,Q1
Google,Tech,North America,10400,14.2,24.9,83,19.1,2025,Q2
IBM,Tech,North America,3700,2.8,12.8,68,7.4,2025,Q1
IBM,Tech,North America,3900,1.2,11.6,66,4.2,2025,Q2
JPMorgan Chase,Finance,North America,5200,10.8,30.8,80,18.2,2025,Q1
JPMorgan Chase,Finance,North America,5500,11.4,31.4,81,19.4,2025,Q2
Citi,Finance,North America,3300,2.1,8.1,65,4.8,2025,Q1
Citi,Finance,North America,3500,2.8,8.6,66,5.6,2025,Q2
Mayo Clinic,Healthcare,North America,1140,8.4,6.1,78,10.4,2025,Q1
Pfizer,Healthcare,North America,1850,3.4,15.2,68,4.8,2025,Q1
Pfizer,Healthcare,North America,1940,4.8,15.8,70,6.4,2025,Q2
Amazon,Retail,North America,15200,15.6,8.8,87,18.6,2025,Q1
Amazon,Retail,North America,16100,16.4,9.2,88,19.8,2025,Q2
Walmart,Retail,North America,3800,6.1,3.1,71,5.4,2025,Q1
Target,Retail,North America,1240,1.4,2.8,64,2.1,2025,Q1
Siemens,Manufacturing,Europe,2450,6.8,10.8,76,10.2,2025,Q1
Ford,Manufacturing,North America,1180,0.8,2.4,63,0.6,2025,Q1
Ford,Manufacturing,North America,1240,1.6,2.8,64,2.2,2025,Q2
Accenture,Consulting,North America,2250,8.8,15.8,82,16.2,2025,Q1
Accenture,Consulting,North America,2400,9.4,16.2,83,17.1,2025,Q2
McKinsey,Consulting,North America,480,10.8,34.2,88,20.6,2025,Q1
Microsoft,Tech,North America,11800,23.6,39.8,91,39.4,2026,Q1
Google,Tech,North America,11200,15.1,26.4,85,21.8,2026,Q1
JPMorgan Chase,Finance,North America,5900,12.1,32.2,82,20.8,2026,Q1
Mayo Clinic,Healthcare,North America,1240,9.1,6.6,80,11.8,2026,Q1
Amazon,Retail,North America,17200,17.2,9.8,89,21.4,2026,Q1
Accenture,Consulting,North America,2600,10.2,16.8,84,18.4,2026,Q1
Siemens,Manufacturing,Europe,2680,7.4,11.2,77,11.6,2026,Q1
Ford,Manufacturing,North America,1320,2.4,3.1,65,3.4,2026,Q1
